Key,Type,Desc,English,Italian,Verify
Advice_8_Desc,Text,,Build a <bd>Watchtower</bd> near your borders to expand your territory.,Costruisci una <bd>Torre di Guardia</bd> vicino ai tuoi confini per espandere il tuo territorio.,
Advice_8_Name,Text,,Expand your territory!,Espandi il tuo territorio!,
Advice_9_Desc,Text,,Build a <bd>Workshop</bd> so you can research new technologies.,Costruisci un <bd>Laboratorio</bd> in modo da ricercare nuove tecnologie.,
Advice_9_Name,Text,,No <bd>Workshop</bd>!,Nessun <bd>Laboratorio</bd>!,
Advisor,Text,In-game advice panel,Advisor,Consulente,
AdvisorColonyAdvice,Text,,Colony Advice,Consigli Colonia,
AdvisorGeneralTips,Text,,General Tips,Suggerimenti Generali,
AdvisorMissionGoals,Text,,Mission Goals,Obiettivi di Missione,
AgeName_0,Text,Level of buildings in the game,Level 1,Livello 1,
AgeName_1,Text,,Level 2,Livello 2,
AgeName_2,Text,,Level 3,Livello 3,
All,Text,All Maps,All,Tutte,
Animal_0_Name,Text,,Sheep,Pecora,
Animal_2_Name,Text,,Cow,Mucca,
Audio Settings,Text,,Audio Settings,Impostazioni Audio,
Back,Text,Navigate to previous screen,Back,Indietro,
BdPlVaResults_0_Name,Text,Short message when trying to place a building for example,Success!,Successo!,
BdPlVaResults_10_Name,Text,,Tile is off map,La casella è fuori dalla mappa,
BdPlVaResults_11_Name,Text,{0}: name of building or thing obstructing the placement of new building,Tile occupied by {0},La casella è occupata da {0},
BdPlVaResults_12_Name,Text,,Too steep,Troppo ripido,
BdPlVaResults_13_Name,Text,,Can't adjust tiles,Impossibile regolare la casella,
BdPlVaResults_14_Name,Text,,No route can be made,Non è possibile creare una strada,
BdPlVaResults_15_Name,Text,,Tile is outside territory,La casella è fuori dal territorio,
BdPlVaResults_16_Name,Text,,Not available,Non disponibile,
BdPlVaResults_17_Name,Text,,Not aligned with underground deposit entrance,Non allineato con l'ingresso del deposito sotterraneo,
BdPlVaResults_18_Name,Text,,Not aligned with fish tile,Non allineato con la casella pesce,
BdPlVaResults_19_Name,Text,,No adjacent pier,Nessun molo adiacente,
BdPlVaResults_1_Name,Text,,Incorrect terrain type,Tipo di terreno non valido,
BdPlVaResults_20_Name,Text,,Not adjacent,Non adiacente,
BdPlVaResults_21_Name,Text,,Not enough adjacent structures,Non ci sono abbastanza strutture adiacenti,
BdPlVaResults_22_Name,Text,,Invalid end of path tile,Casella di fine percorso non valida,
BdPlVaResults_23_Name,Text,,No route found,Nessun percorso trovato,
BdPlVaResults_24_Name,Text,,Banned,Bannato,
BdPlVaResults_255_Name,Text,,Unknown,Sconosciuto,
BdPlVaResults_25_Name,Text,,Higher level <bd>Shaft Mine</bd> required,<bd>Miniera</bd> di livello superiore richiesta,
BdPlVaResults_26_Name,Text,,Land too high,Terra troppo alta,
BdPlVaResults_27_Name,Text,,Land too low,Terra troppo bassa,
BdPlVaResults_28_Name,Text,,Track would break road,Il tracciato romperebbe la strada,
BdPlVaResults_29_Name,Text,,Invalid road/path crossing,Incrocio strada/sentiero non valido,
BdPlVaResults_2_Name,Text,,Below water,Sott'acqua,
BdPlVaResults_30_Name,Text,,Track cannot cross multiple road or path tiles,Il tracciato non può incrociare più strade o sentieri,
BdPlVaResults_31_Name,Text,,Below water,Sott'acqua,
BdPlVaResults_32_Name,Text,,Below ground,Sottoterra,
BdPlVaResults_33_Name,Text,,Obstruction,Ostruito,
BdPlVaResults_34_Name,Text,,Not enough space above,Spazio sopra insufficiente,
BdPlVaResults_35_Name,Text,,Bridge needs support,Il ponte necessita di supporti,
BdPlVaResults_36_Name,Text,,Too high for bridge supports,Troppo alto per i supporti del ponte,
BdPlVaResults_37_Name,Text,,Not enough height,Altezza insufficiente,
BdPlVaResults_38_Name,Text,,Cannot create train - blocked,Impossibile creare il treno - bloccato,
BdPlVaResults_39_Name,Text,,Support blocked by road or path,Supporto bloccato da strada o sentiero,
BdPlVaResults_3_Name,Text,,Below water,Sott'acqua,
BdPlVaResults_4_Name,Text,,Not below water,Non sott'acqua,
BdPlVaResults_5_Name,Text,,Outside territory,Fuori dal territorio,
BdPlVaResults_6_Name,Text,,Maximum amount reached,Massima quantità raggiunta,
BdPlVaResults_7_Name,Text,,Entrance tile occupied,Casella di entrata occupata,
BdPlVaResults_8_Name,Text,,Entrance tile below water,Casella di entrata sott'acqua,
BdPlVaResults_9_Name,Text,,Entrance outside territory,L'entrata è fuori dal territorio,
Best Time,Text,,Best Times,Miglior tempo,
Boat_1_Name,Text,,Clipper,Clipper,
Boat_2_Name,Text,,Lugger,Lugger,
BuildingCat_0,Text,,Residential,Residenziale,
BuildingCat_1,Text,,Food Production,Produzione di cibo,
BuildingCat_2,Text,,Production,Produzione,
BuildingCat_3,Text,,Resource Collection,Raccolta risorse,
BuildingCat_5,Text,,Military,Militare,
BuildingCat_6,Text,,Transport,Trasporto,
BuildingCat_7,Text,,Storage,Stoccaggio,
BuildingCat_8,Text,,Research,Ricerca,
Building_0_Description,Text,,Your Colony ship is the starting hub of your colony and slowly generates <it>Logs</it> and <it>Energy L1</it>,La tua Nave della Colonia è l'hub iniziale della tua colonia e lentamente genera <it>Tronchi</it> e <it>Energia L1</it>,
Building_0_Name,Text,,Colony Ship,Nave della Colonia,
Building_0_Plural,Text,,Colony Ships,Navi della Colonia,
Building_0_Worker,Text,,Shipbot,BotNavigatore,
Building_11_Description,Text,,Plants saplings which mature into fully grown trees.,Pianta alberelli che cresceranno fino a diventare alberi.,
Building_11_Name,Text,,Forestry,Guardia Forestale,
Building_11_Plural,Text,,Forestries,Guardie Forestali,
Building_11_Worker,Text,,Treebot,BotForestale,
Building_13_Description,Text,,Grows <it>Wheat</it> from wheat fields.,Fa crescere il <it>Grano</it> dai campi di grano.,
Building_13_Name,Text,,Wheat Farm,Fattoria di Grano,
Building_13_Plural,Text,,Wheat Farms,Fattorie di Grano,
Building_13_Worker,Text,,Farmbot,BotContadino,
Building_14_Description,Text,,Mines natural resources from surface deposits.,Estrae risorse naturali dai depositi di superficie.,
Building_14_Name,Text,,Surface Mine,Miniera di Superficie,
Building_14_Plural,Text,,Surface Mines,Miniere di Superficie,
Building_14_Worker,Text,,Axebot,BotMinatore,
Building_15_Description,Text,,Bakes <it>Bread</it> from <it>Flour</it> and <it>Water</it> using <cat>Coal</cat>.,Prepara il <it>Pane</it> con <it>Farina</it> e <it>Acqua</it> utilizzando <cat>Carbone</cat>.,
Building_15_Name,Text,,Bakery,Panificio,
Building_15_Plural,Text,,Bakeries,Panifici,
Building_15_Worker,Text,,Bakerbot,BotFornaio,
Building_16_Description,Text,,Mills <it>Flour</it> from <it>Wheat</it>.,Macina il <it>Grano</it> in <it>Farina</it>.,
Building_16_Name,Text,,Flour Mill,Mulino,
Building_16_Plural,Text,,Flour Mills,Mulini,
Building_16_Worker,Text,,Millerbot,BotMugnaio,
Building_18_Description,Text,,Creates <it>Meat</it> and <it>Hide</it> from cows.,Ottiene <it>Carne</it> e <it>Pelle Animale</it> dalle mucche.,
Building_18_Name,Text,,Cow Farm,Allevamento di mucche,
Building_18_Plural,Text,,Cow Farms,Allevamenti di mucche,
Building_18_Worker,Text,,Farmbot,BotAllevatore,
Building_19_Description,Text,,Pulls <it>Water</it> from an underground source.,Estrae <it>Acqua</it> da una fonte sotterranea.,
Building_19_Name,Text,,Well,Pozzo,
Building_19_Plural,Text,,Wells,Pozzi,
Building_19_Worker,Text,,Waterbot,AcquaBot,
Building_1_Description,Text,,Grows <it>Apples</it>.,Fa crescere le <it>Mele</it>.,
Building_1_Name,Text,,Orchard,Frutteto,
Building_1_Plural,Text,,Orchards,Frutteti,
Building_1_Worker,Text,,Farmbot,BotColtivatore,
Building_20_Description,Text,,Creates <it>Charcoal</it> from <it>Logs</it>.,Crea <it>Carbonella</it> dai <it>Tronchi</it>.,
Building_20_Name,Text,,Charcoal Burner,Bruciatore di Carbonella,
Building_20_Plural,Text,,Charcoal Burners,Bruciatori di Carbonella,
Building_20_Worker,Text,,Burnerbot,BotBruciatore,
Building_21_Description,Text,,Creates <it>Meat</it> from sheep.,Ottiene <it>Carne</it> dalle pecore.,
Building_21_Name,Text,,Sheep Farm,Allevamento di Pecore,
Building_21_Plural,Text,,Sheep Farms,Allevamenti di Pecore,
Building_21_Worker,Text,,Shepherdbot,BotPastore,
Building_22_Description,Text,,Allows transportation of resources using boats.,Permette il trasporto di risorse tramite barche.,
Building_22_Name,Text,,Harbour,Porto,
Building_22_Plural,Text,,Harbours,Porti,
Building_22_Worker,Text,,Dockbot,BotScaricatore,
Building_23_Description,Text,,Creates <it>Paper</it> using <it>Logs</it> and <it>Water</it>.,Crea <it>Carta</it> utilizzando <it>Tronchi</it> e <it>Acqua</it>.,
Building_23_Name,Text,,Paper Mill,Cartiera,
Building_23_Plural,Text,,Paper Mills,Cartiere,
Building_23_Worker,Text,,Paperbot,BotCartiere,
Building_254_Name,Text,,Expedition,Spedizione,
Building_25_Description,Text,,Creates <it>Tools</it> from <it>Iron</it> and <it>Planks</it> using <cat>Fuel</cat>.,Crea <it>Strumenti</it> da <it>Ferro</it> e <it>Assi</it> utilizzando <cat>Carburante</cat>.,
Building_25_Name,Text,,Blacksmith,Fabbro,
Building_25_Plural,Text,,Blacksmiths,Fabbri,
Building_25_Worker,Text,,Smithbot,BotFabbro,
Building_26_Description,Text,,Creates <it>Books</it> using <it>Paper</it> and <it>Leather</it>.,Crea <it>Libri</it> utilizzando <it>Carta</it> e <it>Pelle</it>.,
Building_26_Name,Text,,Printing Press,Stampatrice,
Building_26_Plural,Text,,Printing Presses,Stampatrici,
Building_26_Worker,Text,,Printbot,BotStampatore,
Building_27_Description,Text,,Creates <it>Iron</it> from <it>Iron Ore</it> using <cat>Fuel</cat>.,Crea <it>Ferro</it> da <it>Ferro grezzo</it> utilizzando <cat>Carburante</cat>.,
Building_27_Name,Text,,Blast Furnace,Altoforno,
Building_27_Plural,Text,,Blast Furnaces,Altiforni,
Building_27_Worker,Text,,Smeltbot,BotFonditore,
Building_29_Description,Text,,Creates <it>Woollen Garments</it> from <it>Wool</it>.,Crea <it>Indumenti di Lana</it> dalla <it>Lana</it>.,
Building_29_Name,Text,,Weaver,Tessitore,
Building_29_Plural,Text,,Weavers,Tessitori,
Building_29_Worker,Text,,Weaverbot,BotTessitore,
Building_2_Description,Text,,Makes <it>Cider</it> from <it>Apples</it>.,Crea <it>Sidro</it> dalle <it>Mele</it>.,
Building_2_Name,Text,,Cider Press,Pressa di Sidro,
Building_2_Plural,Text,,Cider Presses,Presse di Sidro,
Building_2_Worker,Text,,Pressbot,BotPressatore,
Building_30_Description,Text,,Creates <it>Glass</it> from <it>Quartz</it>.,Crea <it>Vetro</it> da <it>Quarzo</it>.,
Building_30_Name,Text,,Glassworks,Vetreria,
Building_30_Plural,Text,,Glassworks,Vetrerie,
Building_30_Worker,Text,,Blowbot,BotVetraio,
Building_32_Description,Text,,Constructs boats,Costruisce barche,
Building_32_Name,Text,,Boat Yard,Cantiere Navale,
Building_32_Plural,Text,,Boat Yards,Cantieri Navali,
Building_32_Worker,Text,,Shipwrightbot,BotCostruttore,
Building_33_Description,Text,,Expands territory and can attack enemy watchtowers.,Espande il territorio e può attaccare le torri nemiche.,
Building_33_Name,Text,,Watchtower,Torre di Guardia,
Building_33_Plural,Text,,Watchtowers,Torri di osservazione,
Building_33_Worker,Text,,Guardbot,BotGuardia,
Building_34_Description,Text,,Produces <it>Arrows</it> from <it>Logs</it>.,Produce <it>Frecce</it> dai <it>Tronchi</it>.,
Building_34_Name,Text,,Fletcher,Artigiano produttore di frecce,
Building_34_Plural,Text,,Fletchers,Artigiani produttori di frecce,
Building_34_Worker,Text,,Fletchbot,BotArtigiano,
Building_35_Description,Text,,Creates <it>Cannonballs</it> from <it>Iron</it> using <cat>Fuel</cat>.,Crea <it>Palle di cannone</it> da <it>Ferro</it> utilizzando <cat>Carburante</cat>.,
Building_35_Name,Text,,Weaponsmith,Armaiolo,
Building_35_Plural,Text,,Weaponsmiths,Armaioli,
Building_35_Worker,Text,,Smithbot,BotArmaiolo,
Building_38_Description,Text,,Catches <it>Fish</it> from a fishing tile.,Cattura <it>Pesci</it> da una casella di pesca.,
Building_38_Name,Text,,Fishing Hut,Capanna da pesca,
Building_38_Plural,Text,,Fishing Huts,Capanne da pesca,
Building_38_Worker,Text,,Fisherbot,BotPescatore,
Building_39_Description,Text,,Research new technologies.,Ricerca nuove tecnologie.,
Building_39_Name,Text,,Workshop,Laboratorio,
Building_39_Plural,Text,,Workshops,Laboratori,
Building_39_Worker,Text,,Researchbot,BotRicercatore,
Building_3_Description,Text,,Create <it>Logs</it> by chopping down trees.,Crea <it>Tronchi</it> tagliando gli alberi.,
Building_3_Name,Text,,Lumberjack Hut,Capanna del taglialegna,
Building_3_Plural,Text,,Lumberjack Huts,Capanne del taglialegna,
Building_3_Worker,Text,,Lumberbot,BotTaglialegna,
Building_40_Description,Text,,Allows you to buy and sell resources.,Permette di comprare e vendere risorse.,
Building_40_Name,Text,,Space Port,Porto Spaziale,
Building_40_Plural,Text,,Space Ports,Porti Spaziali,
Building_40_Worker,Text,,Stackbot,BotImpilatore,
Building_41_Description,Text,,Creates <it>Energy</it> from <it>Water</it> and <cat>Food</cat>.,Crea <it>Energia</it> da <it>Acqua</it> e <cat>Cubi</cat>.,
Building_41_Name,Text,,Residence,Residenza,
Building_41_Plural,Text,,Residences,Residenze,
Building_41_Worker,Text,,Housebot,BotCasalingo,
Building_45_Description,Text,,Creates <it>Steel</it> from <it>Iron</it> using <cat>Fuel</cat>.,Crea <it>Acciaio</it> da <it>Ferro</it> utilizzando <cat>Carburante</cat>.,
Building_45_Name,Text,,Steelworks,Acciaieria,
Building_45_Plural,Text,,Steelworks,Acciaierie,
Building_45_Worker,Text,,Steelbot,BotFabbro,
Building_47_Description,Text,,Creates <it>Bricks</it> from <it>Clay</it> using <cat>Fuel</cat>.,Crea <it>Mattoni</it> da <it>Argilla</it> utilizzando <cat>Carburante</cat>.,
Building_47_Name,Text,,Brickyard,Mattonificio,
Building_47_Plural,Text,,Brickyards,Mattonifici,
Building_47_Worker,Text,,Brickbot,BotMattonaio,
Building_49_Description,Text,,Boosts the productivity of nearby bots.,Aumenta la produttività dei Bot vicini.,
Building_49_Name,Text,,Large Monument,Monumento grande,
Building_49_Plural,Text,,Large Monuments,Monumenti grandi,
Building_49_Worker,Text,,Stackbot,BotImpilatore,
Building_4_Description,Text,,Creates <it>Planks</it> from <it>Logs</it>.,Crea <it>Assi</it> da <it>Tronchi</it>.,
Building_4_Name,Text,,Sawmill,Segheria,
Building_4_Plural,Text,,Sawmills,Segherie,
Building_4_Worker,Text,,Carpenterbot,BotCarpentiere,
Building_50_Description,Text,,Creates <it>Leather</it> from <it>Hide</it> and <it>Salt</it>.,Crea <it>Pelle</it> da <it>Pelle Animale</it> e <it>Sale</it>.,
Building_50_Name,Text,,Tannery,Conceria,
Building_50_Plural,Text,,Tanneries,Concerie,
Building_50_Worker,Text,,Tannerbot,BotConciatore,
Building_51_Description,Text,,Extracts natural resources from underground mines.,Estrae risorse naturali da miniere sotterranee.,
Building_51_Name,Text,,Shaft Mine,Miniera,
Building_51_Plural,Text,,Shaft Mines,Miniere,
Building_51_Worker,Text,,Minebot,BotMinatore,
Building_57_Description,Text,,"Upgrades roads and paths, improving transport speed.","Migliora strade e sentieri, incrementando la velocità di trasporto.",
Building_57_Name,Text,,Road Layer,Manto Stradale,
Building_57_Plural,Text,,Road Layers,Manti Stradale,
Building_57_Worker,Text,,Roadbot,BotAsfaltatore,
Building_58_Description,Text,,Brews <it>Beer</it> from <it>Wheat</it> and <it>Water</it>.,Produce <it>Birra</it> da <it>Grano</it> e <it>Acqua</it>.,
Building_58_Name,Text,,Brewery,Fabbrica di birra,
Building_58_Plural,Text,,Breweries,Fabbriche di birra,
Building_58_Worker,Text,,Beerbot,BotBirraio,
Building_5_Description,Text,,Store resources which are not immediately needed.,Conserva risorse che non sono immediatamente necessarie.,
Building_5_Name,Text,,Storage Yard,Deposito,
Building_5_Plural,Text,,Storage Yards,Depositi,
Building_5_Worker,Text,,Stackbot,BotImpilatore,
Building_60_Description,Text,,Boosts the productivity of nearby bots.,Aumenta la produttività dei Bot vicini.,
Building_60_Name,Text,,Small Monument,Monumento piccolo,
Building_60_Plural,Text,,Small Monuments,Monumenti piccoli,
Building_60_Worker,Text,,Stackbot,BotImpilatore,
Building_61_Description,Text,,Store resources which are not immediately needed.,Conserva risorse che non sono immediatamente necessarie.,
Building_61_Name,Text,,Small Storage Yard,Deposito piccolo,
Building_61_Plural,Text,,Small Storage Yards,Depositi piccoli,
Building_61_Worker,Text,,Stackbot,BotImpilatore,
